Marker,Sample Name,Lysate,Library,ReadsRaw,ReadsL35,ReadsMapped,ReadsDeduped,%Hominin,UniqueHominin,DuplicationRate,5CT,3CT,5CT_95CI,3CT_95CI,Ancient,ReadsDeam,H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D_support,D_support_deam,S_support,S_support_deam,D-S_support,D-S_support_deam
M248 ,SP.A.7739,Lys.A.1523,Lib.G.775,1431884,984247,276221,30991,3.34,122,2.15,23.8,30.8,8.2-47.2,14.3-51.8,No,26,**50.0% (3 / 6),0.0% (0 / 2),**64.3% (9 / 14),50.0% (1 / 2),50.0% (2 / 4),100.0% (1 / 1),0.0% (0 / 9),0.0% (0 / 1),10.0% (2 / 20),0.0% (0 / 3),0.0% (0 / 14),0.0% (0 / 2),9.1% (2 / 22),0.0% (0 / 4)
M247 ,SP.A.7738,Lys.A.1522,Lib.G.774,1751440,1051754,343412,33421,11.08,445,2.55,48.8,36,39.7-58.0,27.2-45.5,Yes,135,10.5% (2 / 19),0.0% (0 / 3),**80.5% (33 / 41),**71.4% (10 / 14),**100.0% (12 / 12),**100.0% (5 / 5),3.6% (1 / 28),0.0% (0 / 7),1.2% (1 / 83),4.2% (1 / 24),0.0% (0 / 46),0.0% (0 / 11),2.6% (3 / 114),3.7% (1 / 27)
M247 ,SP.A.7738,Lys.A.1522,Lib.G.774,205394,28611,4750,3392,20.19,21,1.14,75,44.4,19.4-99.4,13.7-78.8,Yes,7,0.0% (0 / 1),0.0% (0 / 1),100.0% (1 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 3),0.0% (0 / 2),0.0% (0 / 4),0.0% (0 / 2),0.0% (0 / 7),0.0% (0 / 3)
M247 ,SP.A.7738,Lys.B.611,Lib.G.5409,1911792,1378156,362449,31593,18.4,610,2.08,44.4,33.8,36.4-52.7,26.4-41.8,Yes,176,12.5% (5 / 40),0.0% (0 / 6),**82.4% (28 / 34),**88.9% (8 / 9),**75.0% (15 / 20),50.0% (1 / 2),2.2% (1 / 46),0.0% (0 / 13),1.7% (2 / 119),0.0% (0 / 33),0.0% (0 / 83),0.0% (0 / 25),1.9% (3 / 157),4.1% (2 / 49)
M247 ,SP.A.7738,Lys.B.612,Lib.G.5410,2422998,1718849,521413,34267,8.87,305,2.08,44.4,31.5,32.7-56.6,21.1-43.4,Yes,77,15.8% (3 / 19),0.0% (0 / 4),**68.2% (15 / 22),33.3% (1 / 3),**60.0% (9 / 15),**100.0% (5 / 5),0.0% (0 / 17),0.0% (0 / 4),0.0% (0 / 61),0.0% (0 / 14),0.0% (0 / 58),0.0% (0 / 15),0.0% (0 / 79),0.0% (0 / 21)
M247 ,SP.A.7738,Lys.B.613,Lib.G.5411,3300563,2358377,774874,33301,6.39,174,1.95,24.3,24.3,11.8-41.2,11.8-41.2,Yes,29,**50.0% (5 / 10),NA% (0 / 0),**70.0% (7 / 10),100.0% (2 / 2),42.9% (3 / 7),100.0% (1 / 1),0.0% (0 / 17),0.0% (0 / 3),0.0% (0 / 32),0.0% (0 / 3),0.0% (0 / 18),0.0% (0 / 3),0.0% (0 / 36),0.0% (0 / 6)
M247 ,SP.A.7738,Lys.B.614,Lib.G.5412,1622864,1129313,324814,30950,11.5,309,1.65,46.2,38.2,33.7-59.0,27.2-50.0,Yes,86,16.7% (4 / 24),0.0% (0 / 8),**68.2% (15 / 22),**80.0% (4 / 5),**76.9% (10 / 13),NA% (0 / 0),0.0% (0 / 19),0.0% (0 / 5),0.0% (0 / 53),0.0% (0 / 10),2.5% (1 / 40),9.1% (1 / 11),3.3% (2 / 60),5.0% (1 / 20)
M247 ,SP.A.7738,Lys.B.615,Lib.G.5413,1621447,1114004,283712,28783,7.71,196,1.94,34.8,19.5,21.4-50.2,8.8-34.9,No,44,10.0% (1 / 10),0.0% (0 / 3),**68.8% (11 / 16),100.0% (2 / 2),**75.0% (6 / 8),66.7% (2 / 3),0.0% (0 / 19),0.0% (0 / 3),0.0% (0 / 30),0.0% (0 / 7),0.0% (0 / 15),0.0% (0 / 4),2.3% (1 / 44),0.0% (0 / 9)
M246 ,SP.A.7737,Lys.A.1521,Lib.G.773,1704958,1111842,324327,29549,8.15,279,3.2,38.2,19.7,26.7-50.8,11.2-30.9,Yes,61,**92.9% (26 / 28),**100.0% (5 / 5),0.0% (0 / 26),0.0% (0 / 5),6.2% (1 / 16),20.0% (1 / 5),0.0% (0 / 26),0.0% (0 / 4),4.8% (3 / 62),10.0% (1 / 10),4.7% (2 / 43),0.0% (0 / 11),1.4% (1 / 70),0.0% (0 / 17)
M245 ,SP.A.7736,Lys.A.1520,Lib.G.772,1953253,1276344,383655,34488,8.58,342,2.81,30.6,14.9,21.7-40.7,7.4-25.7,No,58,**97.0% (32 / 33),**83.3% (5 / 6),2.9% (1 / 35),0.0% (0 / 7),6.2% (1 / 16),0.0% (0 / 1),0.0% (0 / 23),0.0% (0 / 4),0.0% (0 / 70),0.0% (0 / 8),6.5% (3 / 46),0.0% (0 / 11),1.5% (1 / 66),0.0% (0 / 14)
M245 ,SP.A.7736,Lys.A.1520,Lib.G.772,208722,38924,5915,4182,21.67,26,1.08,20,14.3,0.5-71.6,0.4-57.9,No,2,**100.0% (6 / 6),100.0% (1 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 7),NA% (0 / 0),25.0% (1 / 4),0.0% (0 / 1),0.0% (0 / 7),NA% (0 / 0)
M244 ,SP.A.7735,Lys.A.1519,Lib.G.767,236913,50699,8097,5340,61.34,219,1.18,30.5,12.3,19.2-43.9,5.1-23.7,No,48,**95.5% (21 / 22),100.0% (2 / 2),0.0% (0 / 28),0.0% (0 / 9),5.6% (1 / 18),25.0% (1 / 4),0.0% (0 / 21),0.0% (0 / 2),2.1% (1 / 47),7.7% (1 / 13),0.0% (0 / 47),0.0% (0 / 11),3.0% (2 / 66),12.5% (2 / 16)
M244 ,SP.A.7735,Lys.A.1519,Lib.G.767,1765841,1221809,353231,36249,36.46,2047,2.73,31.3,18.6,27.2-35.7,15.3-22.3,Yes,403,**97.9% (183 / 187),**97.1% (33 / 34),0.6% (1 / 172),0.0% (0 / 33),0.9% (1 / 115),0.0% (0 / 21),0.5% (1 / 183),0.0% (0 / 31),1.3% (5 / 397),2.4% (2 / 83),0.0% (0 / 302),0.0% (0 / 57),2.0% (9 / 461),5.1% (4 / 78)
M243 ,SP.A.7734,Lys.A.1518,Lib.G.766,1620716,1093208,309589,33962,11.88,511,2.31,37,14.3,28.6-46.0,8.5-21.9,No,104,**96.6% (56 / 58),**100.0% (9 / 9),2.6% (1 / 39),0.0% (0 / 5),0.0% (0 / 21),0.0% (0 / 3),0.0% (0 / 37),0.0% (0 / 5),1.0% (1 / 96),0.0% (0 / 21),1.8% (1 / 57),0.0% (0 / 10),1.9% (2 / 107),4.0% (1 / 25)
M243 ,SP.A.7734,Lys.A.1518,Lib.G.766,184036,38565,5691,4152,22.76,28,1.07,20,14.3,2.5-55.6,0.4-57.9,No,7,**66.7% (4 / 6),100.0% (1 / 1),20.0% (1 / 5),0.0% (0 / 2),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 6),0.0% (0 / 2)
M242 ,SP.A.7733,Lys.A.1517,Lib.G.765,220250,45342,6979,4778,25.27,47,1.09,53.3,33.3,26.6-78.7,11.8-61.6,Yes,16,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),33.3% (1 / 3),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 11),0.0% (0 / 4),0.0% (0 / 6),0.0% (0 / 3),0.0% (0 / 18),0.0% (0 / 4)
M242 ,SP.A.7733,Lys.A.1517,Lib.G.765,1408259,941547,275873,33494,12.35,527,2.13,37,18.3,28.9-45.6,12.3-25.7,Yes,125,**95.7% (45 / 47),**87.5% (7 / 8),0.0% (0 / 32),0.0% (0 / 11),3.6% (1 / 28),33.3% (1 / 3),2.6% (1 / 39),0.0% (0 / 6),1.1% (1 / 93),0.0% (0 / 21),1.5% (1 / 65),0.0% (0 / 18),0.0% (0 / 116),0.0% (0 / 28)
M241 ,SP.A.7732,Lys.A.1516,Lib.G.764,1708002,1242314,329735,33851,7.38,291,2.27,28.2,12.6,18.6-39.5,6.5-21.5,No,58,**96.9% (31 / 32),**75.0% (3 / 4),0.0% (0 / 23),0.0% (0 / 7),0.0% (0 / 19),0.0% (0 / 2),0.0% (0 / 27),0.0% (0 / 4),2.2% (1 / 45),9.1% (1 / 11),2.4% (1 / 41),9.1% (1 / 11),3.5% (2 / 57),0.0% (0 / 11)
M241 ,SP.A.7732,Lys.A.1516,Lib.G.764,181986,46214,6516,4610,11.73,19,1.37,50,0,6.8-93.2,0.0-52.2,No,6,**100.0% (3 / 3),NA% (0 / 0),0.0% (0 / 6),0.0% (0 / 4),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 2),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 3)
M240 ,SP.A.7731,Lys.A.1515,Lib.G.763,209536,37566,6501,4626,20.44,37,1.03,22.2,7.1,2.8-60.0,0.2-33.9,No,6,**100.0% (5 / 5),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 8),0.0% (0 / 1),0.0% (0 / 11),0.0% (0 / 2)
M240 ,SP.A.7731,Lys.A.1515,Lib.G.763,1833980,1249428,405240,38100,16.14,872,1.67,26.8,14.9,21.1-33.0,10.6-20.2,Yes,165,**98.6% (72 / 73),**92.3% (12 / 13),5.2% (4 / 77),0.0% (0 / 18),0.0% (0 / 60),0.0% (0 / 14),0.0% (0 / 72),0.0% (0 / 10),0.0% (0 / 169),0.0% (0 / 34),2.0% (2 / 101),5.9% (1 / 17),1.4% (3 / 208),0.0% (0 / 35)
M239 ,SP.A.7730,Lys.A.1514,Lib.G.762,1661319,1135392,327102,32985,15.99,658,2.73,33.3,13,26.3-40.9,8.3-19.2,No,113,**92.3% (48 / 52),**75.0% (3 / 4),6.5% (4 / 62),50.0% (1 / 2),0.0% (0 / 36),0.0% (0 / 5),0.0% (0 / 54),0.0% (0 / 9),1.4% (2 / 143),4.8% (1 / 21),0.0% (0 / 82),0.0% (0 / 7),0.0% (0 / 158),0.0% (0 / 26)
M239 ,SP.A.7730,Lys.A.1514,Lib.G.762,260106,53516,8815,5483,27.13,51,1.18,38.5,10,13.9-68.4,0.3-44.5,No,10,**66.7% (4 / 6),0.0% (0 / 1),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 15),0.0% (0 / 1),0.0% (0 / 11),0.0% (0 / 1),0.0% (0 / 18),0.0% (0 / 4)
M238 ,SP.A.7729,Lys.A.1513,Lib.G.761,1498923,931666,310376,27509,17.29,587,3.73,30,17.3,22.8-38.0,11.7-24.2,Yes,130,**96.6% (56 / 58),**92.3% (12 / 13),4.2% (2 / 48),11.1% (1 / 9),2.7% (1 / 37),0.0% (0 / 6),3.8% (2 / 53),0.0% (0 / 17),0.0% (0 / 118),0.0% (0 / 35),1.4% (1 / 69),0.0% (0 / 16),1.5% (2 / 134),0.0% (0 / 26)
M237 ,SP.A.7728,Lys.A.1512,Lib.G.760,1963436,1169430,412145,33359,10.01,396,3.03,47.4,34.6,37.2-57.8,25.6-44.6,Yes,119,**40.0% (6 / 15),0.0% (0 / 2),**46.2% (12 / 26),**55.6% (5 / 9),**63.2% (12 / 19),**87.5% (7 / 8),0.0% (0 / 33),0.0% (0 / 9),6.2% (4 / 65),4.5% (1 / 22),0.0% (0 / 46),0.0% (0 / 12),9.8% (8 / 82),4.3% (1 / 23)
M237 ,SP.A.7728,Lys.B.606,Lib.G.5404,1011764,740127,184789,26553,4.53,104,1.64,33.3,20,14.6-57.0,4.3-48.1,No,27,11.1% (1 / 9),0.0% (0 / 1),28.6% (2 / 7),0.0% (0 / 1),33.3% (1 / 3),100.0% (1 / 1),0.0% (0 / 7),0.0% (0 / 1),11.8% (2 / 17),0.0% (0 / 3),0.0% (0 / 13),0.0% (0 / 2),20.0% (3 / 15),50.0% (1 / 2)
M237 ,SP.A.7728,Lys.B.607,Lib.G.5405,869005,588099,138772,22928,9.44,196,1.51,56.4,30,39.6-72.2,16.6-46.5,Yes,55,16.7% (1 / 6),0.0% (0 / 2),**29.2% (7 / 24),66.7% (2 / 3),**38.5% (5 / 13),50.0% (1 / 2),0.0% (0 / 14),0.0% (0 / 6),**44.8% (13 / 29),**57.1% (4 / 7),0.0% (0 / 28),0.0% (0 / 8),**34.4% (11 / 32),**50.0% (3 / 6)
M237 ,SP.A.7728,Lys.B.608,Lib.G.5406,1013137,699903,182307,25288,5.12,113,1.71,45.8,33.3,25.6-67.2,17.3-52.8,Yes,30,16.7% (1 / 6),0.0% (0 / 2),40.0% (2 / 5),**100.0% (2 / 2),**40.0% (4 / 10),50.0% (1 / 2),0.0% (0 / 9),0.0% (0 / 2),16.7% (3 / 18),16.7% (1 / 6),0.0% (0 / 12),0.0% (0 / 6),14.3% (3 / 21),25.0% (2 / 8)
M237 ,SP.A.7728,Lys.B.609,Lib.G.5407,1291366,915944,270229,28570,6.66,197,1.77,27.8,17.3,14.2-45.2,8.2-30.3,No,27,**77.8% (14 / 18),NA% (0 / 0),15.4% (2 / 13),50.0% (1 / 2),12.5% (2 / 16),100.0% (1 / 1),0.0% (0 / 21),0.0% (0 / 2),9.3% (4 / 43),25.0% (1 / 4),0.0% (0 / 28),0.0% (0 / 3),**30.8% (12 / 39),**66.7% (4 / 6)
M237 ,SP.A.7728,Lys.B.610,Lib.G.5408,2325071,1725862,471543,30818,7.67,249,2.57,44.3,26.7,32.4-56.7,17.1-38.1,Yes,70,5.9% (1 / 17),0.0% (0 / 6),**55.6% (10 / 18),66.7% (2 / 3),**50.0% (5 / 10),**60.0% (3 / 5),0.0% (0 / 22),0.0% (0 / 4),**41.5% (17 / 41),30.0% (3 / 10),3.7% (1 / 27),20.0% (1 / 5),**33.3% (15 / 45),**42.9% (6 / 14)
M236 ,SP.A.7727,Lys.A.1511,Lib.G.759,1766793,1116395,387754,37080,9.5,344,1.51,43.2,32.6,32.7-54.2,23.0-43.3,Yes,94,25.0% (3 / 12),20.0% (1 / 5),**46.7% (7 / 15),50.0% (1 / 2),**53.8% (7 / 13),42.9% (3 / 7),5.0% (1 / 20),16.7% (1 / 6),8.0% (4 / 50),7.1% (1 / 14),0.0% (0 / 41),0.0% (0 / 9),8.0% (6 / 75),0.0% (0 / 12)
M236 ,SP.A.7727,Lys.A.1511,Lib.G.759,218931,35431,6880,4782,9.71,10,1,50,20,1.3-98.7,0.5-71.6,No,1,0.0% (0 / 2),0.0% (0 / 1),NA% (0 / 0),NA% (0 / 0),100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0)
M236 ,SP.A.7727,Lys.A.1511,Lib.G.2773,1996142,1559351,509333,30675,9.82,194,2.39,39.5,30,25.0-55.6,14.7-49.4,Yes,42,0.0% (0 / 11),0.0% (0 / 2),**85.7% (12 / 14),100.0% (1 / 1),**80.0% (8 / 10),100.0% (2 / 2),0.0% (0 / 22),0.0% (0 / 2),4.3% (2 / 46),0.0% (0 / 12),0.0% (0 / 22),0.0% (0 / 2),8.3% (4 / 48),8.3% (1 / 12)
M236 ,SP.A.7727,Lys.B.600,Lib.G.5398,486653,322228,78029,18756,4.47,74,1.72,23.8,52.9,8.2-47.2,27.8-77.0,No,24,40.0% (2 / 5),0.0% (0 / 1),66.7% (2 / 3),NA% (0 / 0),100.0% (1 / 1),100.0% (1 / 1),0.0% (0 / 3),0.0% (0 / 2),0.0% (0 / 11),0.0% (0 / 4),0.0% (0 / 5),0.0% (0 / 2),7.7% (1 / 13),25.0% (1 / 4)
M236 ,SP.A.7727,Lys.B.601,Lib.G.5399,431481,285175,73183,18187,8.14,90,1.48,47.6,21.7,25.7-70.2,7.5-43.7,No,27,0.0% (0 / 2),NA% (0 / 0),**75.0% (6 / 8),100.0% (1 / 1),**60.0% (3 / 5),100.0% (1 / 1),0.0% (0 / 7),0.0% (0 / 2),0.0% (0 / 8),0.0% (0 / 4),0.0% (0 / 16),0.0% (0 / 6),12.5% (3 / 24),25.0% (2 / 8)
M236 ,SP.A.7727,Lys.B.602,Lib.G.5400,1499609,983238,324687,25319,8.82,175,2.34,51.4,36.2,34.4-68.1,22.7-51.5,Yes,45,27.3% (3 / 11),0.0% (0 / 2),**100.0% (9 / 9),**100.0% (3 / 3),**46.2% (6 / 13),66.7% (2 / 3),0.0% (0 / 8),0.0% (0 / 2),6.5% (2 / 31),12.5% (1 / 8),0.0% (0 / 28),0.0% (0 / 7),8.1% (3 / 37),9.1% (1 / 11)
M236 ,SP.A.7727,Lys.B.603,Lib.G.5401,1494495,1061879,312173,29183,12.6,282,1.85,48.4,47,35.5-61.4,34.6-59.7,Yes,90,12.5% (2 / 16),0.0% (0 / 4),**88.2% (15 / 17),**100.0% (5 / 5),**83.3% (10 / 12),**85.7% (6 / 7),0.0% (0 / 25),0.0% (0 / 5),1.9% (1 / 53),0.0% (0 / 15),0.0% (0 / 39),0.0% (0 / 14),9.6% (7 / 73),13.0% (3 / 23)
M236 ,SP.A.7727,Lys.B.605,Lib.G.5403,991752,722194,202728,26054,3.22,57,1.47,40,14.3,19.1-63.9,1.8-42.8,No,15,66.7% (2 / 3),NA% (0 / 0),33.3% (2 / 6),50.0% (1 / 2),50.0% (1 / 2),100.0% (1 / 1),0.0% (0 / 8),0.0% (0 / 2),16.7% (1 / 6),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 8),0.0% (0 / 1)
M235 ,SP.A.7726,Lys.A.1510,Lib.G.758,1519066,824523,313120,25501,14.73,363,4.26,48.6,36,38.7-58.5,27.1-45.7,Yes,120,13.0% (3 / 23),0.0% (0 / 5),**57.9% (11 / 19),**60.0% (3 / 5),**80.0% (16 / 20),**80.0% (4 / 5),0.0% (0 / 18),0.0% (0 / 3),9.6% (5 / 52),23.5% (4 / 17),0.0% (0 / 46),0.0% (0 / 17),7.9% (5 / 63),5.0% (1 / 20)
M235 ,SP.A.7726,Lys.A.1510,Lib.G.2772,888622,531888,111593,13945,17.24,175,3.84,35.7,28.9,21.6-52.0,16.4-44.3,Yes,41,10.0% (1 / 10),0.0% (0 / 3),**44.4% (8 / 18),0.0% (0 / 2),**80.0% (4 / 5),NA% (0 / 0),0.0% (0 / 15),0.0% (0 / 1),0.0% (0 / 25),0.0% (0 / 6),0.0% (0 / 21),0.0% (0 / 6),8.0% (4 / 50),0.0% (0 / 11)
M234 ,SP.A.7725,Lys.A.1509,Lib.G.757,1586633,1074309,313965,31584,8.7,303,3.4,30,16.9,20.3-41.3,9.5-26.7,No,59,**100.0% (19 / 19),**100.0% (4 / 4),0.0% (0 / 26),0.0% (0 / 8),0.0% (0 / 19),0.0% (0 / 4),4.3% (1 / 23),25.0% (1 / 4),0.0% (0 / 58),0.0% (0 / 13),0.0% (0 / 40),0.0% (0 / 5),1.4% (1 / 72),0.0% (0 / 14)
M233 ,SP.A.7724,Lys.A.1508,Lib.G.756,208297,36449,6027,4256,15.11,21,1.1,33.3,0,4.3-77.7,0.0-60.2,No,3,**80.0% (4 / 5),100.0% (2 / 2),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 6),0.0% (0 / 2),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 6),0.0% (0 / 1)
M233 ,SP.A.7724,Lys.A.1508,Lib.G.756,1704480,1118795,358058,33639,8.71,349,2.56,35.9,20.5,25.3-47.6,12.0-31.6,Yes,72,**87.0% (20 / 23),100.0% (2 / 2),3.4% (1 / 29),0.0% (0 / 5),0.0% (0 / 22),0.0% (0 / 3),0.0% (0 / 30),0.0% (0 / 9),0.0% (0 / 56),0.0% (0 / 13),0.0% (0 / 68),0.0% (0 / 14),0.0% (0 / 83),0.0% (0 / 21)
M232 ,SP.A.7723,Lys.A.1507,Lib.G.755,1150722,834122,237414,32720,7.88,297,1.63,34.7,21.9,24.0-46.5,14.1-31.5,Yes,71,**100.0% (31 / 31),**100.0% (5 / 5),9.7% (3 / 31),0.0% (0 / 7),0.0% (0 / 25),0.0% (0 / 5),0.0% (0 / 19),0.0% (0 / 7),5.7% (3 / 53),7.1% (1 / 14),4.3% (2 / 46),10.0% (1 / 10),0.0% (0 / 64),0.0% (0 / 14)
M231 ,SP.A.7722,Lys.A.1506,Lib.G.754,1868231,1285880,379326,35392,11.03,504,2.31,29.2,21.1,21.6-37.8,14.0-29.7,Yes,101,**95.7% (44 / 46),**100.0% (8 / 8),2.5% (1 / 40),0.0% (0 / 4),0.0% (0 / 20),0.0% (0 / 5),0.0% (0 / 36),0.0% (0 / 6),1.0% (1 / 103),5.0% (1 / 20),0.0% (0 / 84),0.0% (0 / 11),1.6% (2 / 122),7.7% (2 / 26)
M230 ,SP.A.7721,Lys.A.1505,Lib.G.753,1329540,880399,281298,34080,9.66,468,1.68,36.1,19.3,27.1-45.9,12.7-27.6,Yes,95,**97.6% (40 / 41),**100.0% (11 / 11),2.7% (1 / 37),10.0% (1 / 10),0.0% (0 / 33),0.0% (0 / 5),0.0% (0 / 46),0.0% (0 / 9),0.0% (0 / 76),0.0% (0 / 15),4.2% (3 / 71),0.0% (0 / 16),2.6% (3 / 114),0.0% (0 / 20)
M229 ,SP.A.7720,Lys.A.1504,Lib.G.752,1586391,1041117,348584,31874,14.01,538,2.12,27.2,20.4,19.9-35.5,14.1-28.0,Yes,118,**100.0% (50 / 50),**100.0% (15 / 15),6.4% (3 / 47),0.0% (0 / 10),7.1% (2 / 28),14.3% (1 / 7),1.8% (1 / 57),0.0% (0 / 12),1.7% (2 / 116),4.0% (1 / 25),0.0% (0 / 71),0.0% (0 / 18),1.5% (2 / 133),0.0% (0 / 32)
M228 ,SP.A.7719,Lys.A.1503,Lib.G.751,1358364,905456,295920,32652,3.89,148,1.79,24.2,16.7,11.1-42.3,5.6-34.7,No,22,**100.0% (14 / 14),100.0% (2 / 2),0.0% (0 / 15),0.0% (0 / 1),20.0% (1 / 5),0.0% (0 / 1),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 30),0.0% (0 / 2),0.0% (0 / 13),0.0% (0 / 1),3.2% (1 / 31),25.0% (1 / 4)
M227 ,SP.A.7718,Lys.A.1502,Lib.G.743,1274143,763645,273871,24521,11.87,296,5.41,31.8,16.7,22.3-42.6,9.2-26.8,No,67,**100.0% (22 / 22),**100.0% (6 / 6),0.0% (0 / 23),0.0% (0 / 8),0.0% (0 / 17),0.0% (0 / 6),0.0% (0 / 22),NA% (0 / 0),0.0% (0 / 45),0.0% (0 / 2),0.0% (0 / 33),0.0% (0 / 11),3.2% (2 / 63),6.7% (1 / 15)
M226 ,SP.A.7717,Lys.A.1501,Lib.G.742,1776479,1100384,412835,32032,17.45,641,2.77,29.2,15.1,22.4-36.7,10.0-21.4,No,136,**97.1% (66 / 68),**100.0% (13 / 13),0.0% (0 / 56),0.0% (0 / 9),0.0% (0 / 44),0.0% (0 / 7),0.0% (0 / 50),0.0% (0 / 7),2.5% (3 / 118),0.0% (0 / 27),0.0% (0 / 88),0.0% (0 / 16),1.4% (2 / 138),0.0% (0 / 25)
M225 ,SP.A.7716,Lys.A.1500,Lib.G.741,227485,45056,8997,5839,0,0,NA,NA,NA,NA,NA,No,0,NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0)
M225 ,SP.A.7716,Lys.A.1500,Lib.G.741,1623118,1096273,356564,37441,2.03,92,1.55,20,25,4.3-48.1,7.3-52.4,No,12,33.3% (1 / 3),0.0% (0 / 1),0.0% (0 / 3),NA% (0 / 0),50.0% (2 / 4),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),0.0% (0 / 24),0.0% (0 / 2),0.0% (0 / 6),NA% (0 / 0),6.7% (1 / 15),0.0% (0 / 2)
M224 ,SP.A.7715,Lys.A.1499,Lib.G.740,1782973,1150780,384605,31376,4.63,146,2.91,30,12.9,14.7-49.4,3.6-29.8,No,24,**54.5% (6 / 11),0.0% (0 / 1),23.1% (3 / 13),50.0% (1 / 2),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 8),NA% (0 / 0),8.0% (2 / 25),0.0% (0 / 2),0.0% (0 / 19),0.0% (0 / 4),7.1% (2 / 28),50.0% (1 / 2)
M223 ,SP.A.7714,Lys.A.1498,Lib.G.739,1588555,1099112,332089,34326,1.62,82,2.2,23.5,9.1,6.8-49.9,1.1-29.2,No,9,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),33.3% (3 / 9),0.0% (0 / 1),0.0% (0 / 8),NA% (0 / 0),13.3% (2 / 15),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1),5.6% (1 / 18),0.0% (0 / 1)
M222 ,SP.A.7713,Lys.A.1497,Lib.G.738,1780675,1133482,379897,33192,9.34,316,3.7,12.9,13.3,6.6-22.0,6.6-23.2,No,28,**76.0% (19 / 25),NA% (0 / 0),25.0% (5 / 20),NA% (0 / 0),0.0% (0 / 10),NA% (0 / 0),0.0% (0 / 26),0.0% (0 / 3),0.0% (0 / 60),0.0% (0 / 1),0.0% (0 / 33),NA% (0 / 0),0.0% (0 / 68),0.0% (0 / 8)
M221 ,SP.A.7712,Lys.A.1496,Lib.G.737,1860306,945980,169041,5057,81.12,782,54.14,3.8,0.4,1.6-7.7,0.0-2.2,No,14,**100.0% (68 / 68),100.0% (1 / 1),0.0% (0 / 53),NA% (0 / 0),3.1% (1 / 32),0.0% (0 / 1),0.0% (0 / 71),0.0% (0 / 4),1.2% (2 / 160),0.0% (0 / 3),0.0% (0 / 121),0.0% (0 / 1),0.0% (0 / 194),0.0% (0 / 2)
M220 ,SP.A.7711,Lys.A.1495,Lib.G.736,1817773,1132496,392275,31401,3.95,163,3.55,35.1,13.9,20.2-52.5,4.7-29.5,No,25,**100.0% (6 / 6),100.0% (1 / 1),10.0% (1 / 10),50.0% (1 / 2),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 10),0.0% (0 / 2),3.3% (1 / 30),16.7% (1 / 6),0.0% (0 / 22),0.0% (0 / 1),2.9% (1 / 35),0.0% (0 / 4)
M219 ,SP.A.7710,Lys.A.1494,Lib.G.735,236478,38930,7951,5302,13.14,18,1,16.7,28.6,0.4-64.1,3.7-71.0,No,5,50.0% (1 / 2),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),14.3% (1 / 7),100.0% (1 / 1),0.0% (0 / 6),0.0% (0 / 1)
