Project Name,Site Name,Site Id,Site Country,Site Coordinates,Layer Name,Layer Parent,Layer Profile,Layer Colour,Layer Texture,Layer Age,Layer Umbrella Culture,Layer Culture,Layer Culture (Mixed),Layer Epoch,Sample Batch Name,Sample Batch Arrival,Fossil Remain,Sample Name,Sample Synonyms,Sample Type,Sample Year of Collection,Sample Provenience,Sample Age,Sample Age Upper,Sample Age Lower,Lysate,ENC Batch,Library,Molecules (qPCR),Efficiency,LNC Batch,Capture,Capture Probe,Sequencing Run,Sequencing Lane,Sequencing Pool,Tag,QC,quicksand version,ReadsRaw,ReadsLengthfiltered,ReadsIdentified,ReadsMapped,ReadsDeduped,DuplicationRate,ReadsBedfiltered,SeqsInAncientTaxa,Ancient,AncientTaxa,OtherTaxa,Subsitutions,QS_ver,CC_reads,CC_percent,RawSeqs,FilteredL35,Identified,%Hominid,Mapped,%Mapped,Unique,Duplication_Rate,5'CT,3'CT,5'CT(95%CI),3'CT(95%CI),cond5'CT(95%CI),cond3'CT(95%CI),MM_Ancient,Deaminated(term3),H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D-S_support,D-S_support_deam,D_support,D_support_deam,S_support,S_support_deam,H_der,H_deam_der,N-HST_der,N-HST_deam_der,N_der,N_deam_der,HST_der,HST_deam_der,D-S_der,D-S_deam_der,D_der,D_deam_der,S_der,S_deam_der
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7532,freshkills id:SP6695;Field Id:M40,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1301,LyB-20180125-EZ,Lib.F.9223,28262500000,93.9,Pl_307,Cap.E.7263,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,2558937,1371047,193194,158206,7313,21.63,6926,7142,++,Bovidae(1565[20.22%]) Canidae(286[3.83%]) Cervidae(63[0.84%]) Felidae(98[1.27%]) Hyaenidae(781[10.17%]) Mustelidae(418[5.0%]) Ursidae(3931[51.06%]),Equidae(57[0.76%]) Hominidae(114[1.53%]),"Bovidae(54.2[48.8-59.5],30.5[25.2-36.4]) Canidae(63.3[49.9-75.4],41.9[27.0-57.9]) Cervidae(75.0[42.8-94.5],50.0[18.7-81.3]) Equidae(11.1[0.3-48.2],41.7[15.2-72.3]) Felidae(56.5[34.5-76.8],58.1[39.1-75.5]) Hominidae(9.1[1.1-29.2],2.9[0.1-15.3]) Hyaenidae(43.2[36.2-50.4],25.8[19.7-32.7]) Mustelidae(64.8[53.9-74.7],44.3[33.1-55.9]) Ursidae(69.7[66.7-72.7],50.7[47.0-54.3])",2.3,5.1,0.000201,2558937,2523866,3516,1.5,2963,84.3,114,25.99,9.1,2.9,1.1-29.2,0.1-15.3,N/A-N/A,N/A-N/A,-,7,^^^75.0% (6 / 8),0.0% (0 / 1),25.0% (1 / 4),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),9.1% (2 / 22),25.0% (1 / 4),0.0% (0 / 18),NA% (0 / 0),0.0% (0 / 20),0.0% (0 / 2),(2831:1)(4904:1)(9869:1)(12474:1)(13359:2),,(417:1),,,,,,(2955:1)(9647:1),(2955:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7532,freshkills id:SP6695;Field Id:M40,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1301,LyB-20180125-EZ,Lib.F.9223,28262500000,93.9,Pl_307,Cap.E.7177,AA163,190312_D00829_0232,lane2,P.A.874,Screening,Pass,v2.3,2886840,1485040,75161,49006,288,170.16,38,22,++,Cercopithecidae(22[1.83%]),Felidae(16[1.33%]) Hominidae(250[20.81%]),"Cercopithecidae(50.0[11.8-88.2],42.9[9.9-81.6]) Felidae(N/A[N/A-N/A],71.4[29.0-96.3]) Hominidae(12.5[4.7-25.2],4.3[0.9-12.0])",2.3,0.0,0.0,2886840,2843821,72110,20.8,48075,66.7,250,192.3,12.5,4.3,4.7-25.2,0.9-12.0,0.0-97.5,0.0-97.5,-,12,^^^86.7% (26 / 30),0.0% (0 / 2),11.1% (2 / 18),NA% (0 / 0),0.0% (0 / 32),0.0% (0 / 1),0.0% (0 / 18),NA% (0 / 0),1.9% (1 / 54),0.0% (0 / 2),2.3% (1 / 43),NA% (0 / 0),0.0% (0 / 28),NA% (0 / 0),(2056:1)(2523:2)(2831:2)(4904:5)(6641:1)(8021:3)(8461:4)(9869:2)(10307:1)(10324:1)(12474:1)(13359:3),,(417:2),,,,,,(9647:1),,(8784:1),,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7533,freshkills id:SP6696;Field Id:M41,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1302,LyB-20180125-EZ,Lib.F.9224,16810000000,107.44,Pl_307,Cap.E.7264,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,2171488,1074877,95156,71466,3111,22.97,2568,2601,++,Canidae(128[3.09%]) Felidae(55[1.33%]) Mustelidae(1085[25.32%]) Ursidae(1333[32.33%]),Bovidae(70[1.73%]) Hominidae(410[10.3%]) Muridae(30[0.75%]),"Bovidae(76.9[46.2-95.0],27.3[6.0-61.0]) Canidae(62.5[43.7-78.9],40.6[23.7-59.4]) Felidae(86.7[59.5-98.3],80.0[44.4-97.5]) Hominidae(5.6[1.5-13.6],3.1[0.6-8.7]) Muridae(44.4[13.7-78.8],20.0[0.5-71.6]) Mustelidae(65.8[59.3-71.9],49.5[42.6-56.4]) Ursidae(62.1[57.0-67.0],56.0[49.9-62.0])",2.3,27.2,0.001254,2171488,2134998,15313,10.3,12905,84.3,410,31.48,5.6,3.1,1.5-13.6,0.6-8.7,N/A-N/A,0.0-97.5,-,18,^^^100.0% (34 / 34),^^100.0% (2 / 2),0.0% (0 / 36),NA% (0 / 0),0.0% (0 / 30),NA% (0 / 0),0.0% (0 / 42),NA% (0 / 0),2.5% (3 / 120),0.0% (0 / 6),1.7% (2 / 118),0.0% (0 / 4),0.0% (0 / 48),0.0% (0 / 3),(2523:5)(2831:1)(4904:4)(4940:3)(5821:1)(5840:2)(6452:1)(7868:1)(8065:1)(9325:2)(9869:3)(10307:3)(10324:2)(12474:1)(13095:1)(13359:1)(15148:2),(2523:2),,,,,,,(8203:1)(11147:2),,(928:1)(15562:1),,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7533,freshkills id:SP6696;Field Id:M41,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1302,LyB-20180125-EZ,Lib.F.9224,16810000000,107.44,Pl_307,Cap.E.7178,AA163,190312_D00829_0232,lane2,P.A.874,Screening,Pass,v2.3,2208259,1079704,140510,120793,960,125.83,35,0,+,-,Hominidae(921[66.73%]) Hylobatidae(7[0.5%]) Muridae(11[0.79%]) Sciuridae(21[1.23%]),"Hominidae(9.2[5.5-14.4],4.9[2.6-8.4]) Hylobatidae(0.0[0.0-97.5],25.0[0.6-80.6]) Muridae(100.0[15.8-100.0],66.7[9.4-99.2]) Sciuridae(33.3[0.8-90.6],50.0[6.8-93.2])",2.3,0.0,0.0,2208259,2172142,138440,66.7,120171,86.8,921,130.48,9.2,4.9,5.5-14.4,2.6-8.4,0.0-70.8,0.0-45.9,-,44,^^^100.0% (74 / 74),100.0% (1 / 1),0.0% (0 / 86),NA% (0 / 0),0.0% (0 / 90),0.0% (0 / 1),2.0% (2 / 99),0.0% (0 / 2),1.9% (5 / 258),0.0% (0 / 17),0.0% (0 / 259),0.0% (0 / 10),1.0% (1 / 98),0.0% (0 / 3),(2056:1)(2523:3)(2831:1)(4904:9)(4940:6)(5821:3)(5840:5)(6266:1)(6452:1)(6641:2)(7868:5)(8065:1)(9325:2)(9869:5)(10307:6)(10324:5)(12474:4)(13095:3)(13359:2)(13889:4)(15148:5),(6641:1),,,,,(7702:1)(9355:1),,(8203:2)(11147:3),,,,(12768:1),
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7534,freshkills id:SP6697;Field Id:M42,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1303,LyB-20180125-EZ,Lib.F.9225,17558750000,101.24,Pl_307,Cap.E.7265,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,1880117,977648,34723,20464,755,27.1,570,482,++,Canidae(51[7.12%]) Ursidae(431[58.79%]),Bovidae(26[3.63%]) Hominidae(140[19.55%]) Hyaenidae(19[2.51%]) Mustelidae(61[3.91%]) Suidae(17[2.37%]) Vespertilionidae(10[1.25%]),"Bovidae(60.0[14.7-94.7],27.3[6.0-61.0]) Canidae(71.4[29.0-96.3],45.5[16.7-76.6]) Hominidae(4.0[0.1-20.4],7.5[1.6-20.4]) Hyaenidae(33.3[4.3-77.7],0.0[0.0-60.2]) Mustelidae(50.0[11.8-88.2],0.0[0.0-84.2]) Suidae(25.0[0.6-80.6],0.0[0.0-45.9]) Ursidae(68.1[57.7-77.3],51.9[40.5-63.1]) Vespertilionidae(N/A[N/A-N/A],0.0[0.0-97.5])",2.3,22.5,0.001199,1880117,1843773,5367,19.6,4984,92.9,140,35.6,4.0,7.5,0.1-20.4,1.6-20.4,N/A-N/A,0.0-97.5,-,6,^^^100.0% (19 / 19),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 14),NA% (0 / 0),0.0% (0 / 35),NA% (0 / 0),0.0% (0 / 46),NA% (0 / 0),0.0% (0 / 23),0.0% (0 / 2),(2831:1)(4940:2)(5387:1)(5580:1)(6266:1)(6452:1)(9325:1)(10307:1)(10324:1)(10750:1)(12474:1)(13656:1)(15148:1)(15443:1)(15649:1)(15667:3),,,,,,,,,,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7534,freshkills id:SP6697;Field Id:M42,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1303,LyB-20180125-EZ,Lib.F.9225,17558750000,101.24,Pl_307,Cap.E.7179,AA163,190312_D00829_0232,lane2,P.A.874,Screening,Pass,v2.3,2210293,1087695,80016,59257,295,200.87,2,0,-,-,Cercopithecidae(2[0.67%]) Hominidae(293[99.32%]),"Cercopithecidae(100.0[2.5-100.0],N/A[N/A-N/A]) Hominidae(6.9[1.9-16.7],1.1[0.0-5.7])",2.3,29.1,0.001316,2210293,2167847,79098,100.0,59255,74.9,293,202.24,6.9,1.1,1.9-16.7,0.0-5.7,N/A-N/A,0.0-84.2,-,10,^^^96.4% (27 / 28),NA% (0 / 0),0.0% (0 / 22),NA% (0 / 0),0.0% (0 / 20),NA% (0 / 0),0.0% (0 / 32),NA% (0 / 0),1.2% (1 / 82),0.0% (0 / 3),0.0% (0 / 75),NA% (0 / 0),0.0% (0 / 46),0.0% (0 / 6),(2831:1)(4904:1)(4940:5)(5387:1)(5580:1)(6266:2)(6452:1)(8461:1)(9325:1)(10307:1)(10324:1)(10750:1)(12474:1)(13656:1)(15148:1)(15443:1)(15649:2)(15667:4),,,,,,,,(8677:1),,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7535,freshkills id:SP6698;Field Id:M43,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1304,LyB-20180125-EZ,Lib.F.9226,36350000000,101.83,Pl_307,Cap.E.7266,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,2191673,1123966,178349,145391,10973,13.25,10583,10905,++,Bovidae(769[6.85%]) Canidae(2118[18.72%]) Felidae(117[1.04%]) Mustelidae(90[0.76%]) Ursidae(7811[68.38%]),Hominidae(68[0.61%]),"Bovidae(60.4[53.1-67.4],47.6[39.7-55.5]) Canidae(61.2[56.6-65.6],54.4[49.7-59.0]) Felidae(52.0[31.3-72.2],62.9[44.9-78.5]) Hominidae(0.0[0.0-23.2],0.0[0.0-16.8]) Mustelidae(60.9[38.5-80.3],52.6[28.9-75.6]) Ursidae(64.4[62.2-66.5],52.6[50.1-55.0])",2.3,12.5,0.00057,2191673,2158475,1667,0.6,1247,74.8,68,18.34,0.0,0.0,0.0-23.2,0.0-16.8,N/A-N/A,N/A-N/A,-,1,^^^100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1),0.0% (0 / 8),NA% (0 / 0),9.1% (1 / 11),100.0% (1 / 1),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),(5840:1)(6452:2)(8065:1)(10307:1)(10324:1),,,,,,,,(1405:1),(1405:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7535,freshkills id:SP6698;Field Id:M43,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1304,LyB-20180125-EZ,Lib.F.9226,36350000000,101.83,Pl_307,Cap.E.7180,AA163,190312_D00829_0232,lane2,P.A.874,Screening,Pass,v2.3,2356092,1154183,49161,27628,198,139.54,24,24,++,Mustelidae(24[2.04%]),Hominidae(174[14.85%]),"Hominidae(3.1[0.1-16.2],0.0[0.0-7.9]) Mustelidae(33.3[9.9-65.1],57.1[18.4-90.1])",2.3,0.0,0.0,2356092,2318930,47580,14.9,26637,56.0,174,153.09,3.1,0.0,0.1-16.2,0.0-7.9,N/A-N/A,N/A-N/A,-,2,^^^100.0% (18 / 18),NA% (0 / 0),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 15),0.0% (0 / 1),0.0% (0 / 13),NA% (0 / 0),9.4% (3 / 32),100.0% (1 / 1),2.7% (1 / 37),NA% (0 / 0),0.0% (0 / 22),NA% (0 / 0),(5387:2)(5840:5)(6452:2)(6641:1)(8065:2)(10307:1)(10324:1)(12474:1)(15355:1)(15443:1)(15667:1),,,,,,,,(1405:1)(14476:1)(14956:1),(1405:1),(14954:1),,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7536,freshkills id:SP6699;Field Id:M44,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1305,LyB-20180125-EZ,Lib.F.9227,38425000000,100.07,Pl_307,Cap.E.7267,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,1978527,1032973,172770,158146,14705,10.75,14119,14560,++,Bovidae(869[5.62%]) Canidae(1693[11.21%]) Elephantidae(231[1.55%]) Equidae(1252[8.31%]) Felidae(299[2.0%]) Hyaenidae(2824[18.48%]) Rhinocerotidae(80[0.54%]) Ursidae(7312[47.9%]),Hominidae(145[0.98%]),"Bovidae(40.6[33.7-47.8],27.6[21.4-34.5]) Canidae(58.5[53.5-63.4],49.3[44.0-54.6]) Elephantidae(66.7[52.5-78.9],55.1[40.2-69.3]) Equidae(39.1[33.8-44.6],33.8[28.4-39.5]) Felidae(49.4[38.2-60.6],50.7[38.9-62.4]) Hominidae(3.2[0.1-16.7],5.0[0.6-16.9]) Hyaenidae(40.5[36.9-44.2],30.1[26.7-33.6]) Rhinocerotidae(42.9[21.8-66.0],55.6[35.3-74.5]) Ursidae(63.2[61.0-65.3],52.2[49.7-54.6])",2.3,141.1,0.00713,1978527,1950537,2606,1.0,1947,74.7,145,13.43,3.2,5.0,0.1-16.7,0.6-16.9,N/A-N/A,N/A-N/A,-,5,^^^100.0% (12 / 12),NA% (0 / 0),0.0% (0 / 9),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),7.7% (4 / 52),33.3% (1 / 3),0.0% (0 / 33),NA% (0 / 0),0.0% (0 / 24),NA% (0 / 0),(4904:1)(5580:1)(6266:1)(8065:1)(9869:1)(11590:1)(12474:1)(13095:3)(13359:1)(13889:1),,,,,,,,(868:3)(2955:1),(868:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7536,freshkills id:SP6699;Field Id:M44,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1305,LyB-20180125-EZ,Lib.F.9227,38425000000,100.07,Pl_307,Cap.E.7181,AA163,190312_D00829_0232,lane2,P.A.874,Screening,Pass,v2.3,2211430,1118517,45784,30232,372,81.27,53,0,+,-,Cercopithecidae(21[0.84%]) Hominidae(319[12.81%]) Muridae(18[0.72%]) Mustelidae(14[0.56%]),"Cercopithecidae(100.0[29.2-100.0],40.0[5.3-85.3]) Hominidae(4.2[0.9-11.9],2.7[0.3-9.5]) Muridae(16.7[0.4-64.1],60.0[26.2-87.8]) Mustelidae(50.0[1.3-98.7],83.3[35.9-99.6])",2.3,11.0,0.000496,2211430,2179653,42385,12.8,29230,69.0,319,91.63,4.2,2.7,0.9-11.9,0.3-9.5,N/A-N/A,N/A-N/A,-,12,^^^100.0% (30 / 30),100.0% (1 / 1),0.0% (0 / 28),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 24),NA% (0 / 0),1.1% (1 / 94),0.0% (0 / 1),0.0% (0 / 76),0.0% (0 / 1),0.0% (0 / 48),0.0% (0 / 2),(4904:1)(5580:4)(6266:4)(7891:1)(8065:2)(8461:1)(8503:1)(9869:1)(11590:2)(12474:3)(13095:4)(13359:1)(13889:3)(15443:1)(15667:1),(13095:1),,,,,,,(868:1),,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7537,freshkills id:SP6700;Field Id:M45,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1306,LyB-20180125-EZ,Lib.F.9228,14017500000,111.43,Pl_307,Cap.E.7268,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,2129225,1034493,104788,78349,2696,29.06,1984,1628,++,Canidae(118[4.26%]) Cervidae(21[0.76%]) Elephantidae(117[4.15%]) Hyaenidae(538[19.21%]) Mustelidae(126[4.52%]) Ursidae(708[24.79%]),Bovidae(195[7.03%]) Cercopithecidae(14[0.51%]) Cricetidae(74[2.66%]) Equidae(42[1.53%]) Felidae(26[0.94%]) Hominidae(662[24.13%]) Rhinocerotidae(39[1.34%]) Sciuridae(16[0.58%]),"Bovidae(20.6[8.7-37.9],27.5[14.6-43.9]) Canidae(61.1[43.5-76.9],37.5[18.8-59.4]) Cercopithecidae(0.0[0.0-52.2],0.0[0.0-70.8]) Cervidae(100.0[15.8-100.0],57.1[18.4-90.1]) Cricetidae(44.4[21.5-69.2],22.2[6.4-47.6]) Elephantidae(37.0[19.4-57.6],45.0[23.1-68.5]) Equidae(45.5[16.7-76.6],33.3[4.3-77.7]) Felidae(85.7[42.1-99.6],40.0[5.3-85.3]) Hominidae(5.4[2.0-11.4],3.4[1.1-7.7]) Hyaenidae(44.6[36.4-53.0],34.7[26.2-44.1]) Mustelidae(67.9[47.6-84.1],22.2[10.1-39.2]) Rhinocerotidae(25.0[3.2-65.1],75.0[19.4-99.4]) Sciuridae(33.3[0.8-90.6],75.0[19.4-99.4]) Ursidae(61.4[53.7-68.7],42.1[33.6-51.0])",2.3,58.4,0.002744,2129225,2093732,25257,24.1,21581,85.4,662,32.6,5.4,3.4,2.0-11.4,1.1-7.7,0.0-97.5,0.0-84.2,-,24,^^^93.2% (41 / 44),NA% (0 / 0),0.0% (0 / 66),NA% (0 / 0),0.0% (0 / 66),NA% (0 / 0),1.7% (1 / 58),0.0% (0 / 1),1.7% (2 / 120),0.0% (0 / 7),0.4% (1 / 240),0.0% (0 / 3),0.0% (0 / 68),0.0% (0 / 6),(2056:1)(4904:1)(4940:2)(5387:1)(5580:1)(6641:1)(7868:4)(7891:4)(9325:4)(9869:1)(10307:2)(10750:2)(11590:1)(12474:1)(13359:3)(13889:4)(15148:4)(15355:2)(15443:1)(15667:1),,,,,,(15346:1),,(4958:2),,(15562:1),,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7537,freshkills id:SP6700;Field Id:M45,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1306,LyB-20180125-EZ,Lib.F.9228,14017500000,111.43,Pl_307,Cap.E.7182,AA163,190312_D00829_0232,lane2,P.A.874,Screening,Pass,v2.3,2575920,1214325,250712,224636,2113,106.31,81,0,+,-,Bovidae(21[0.87%]) Cercopithecidae(15[0.65%]) Hominidae(2026[88.54%]) Mustelidae(18[0.78%]) Ursidae(33[1.22%]),"Bovidae(37.5[8.5-75.5],14.3[0.4-57.9]) Cercopithecidae(50.0[6.8-93.2],33.3[0.8-90.6]) Hominidae(4.7[2.7-7.7],3.2[1.8-5.4]) Mustelidae(87.5[47.3-99.7],10.0[0.3-44.5]) Ursidae(66.7[9.4-99.2],62.5[24.5-91.5])",2.3,2.6,0.000102,2575920,2531588,242568,88.5,219563,90.5,2026,108.37,4.7,3.2,2.7-7.7,1.8-5.4,2.5-100.0,0.4-64.1,-,65,^^^98.2% (108 / 110),100.0% (1 / 1),0.0% (0 / 352),0.0% (0 / 4),0.3% (1 / 298),50.0% (1 / 2),0.0% (0 / 158),0.0% (0 / 5),1.1% (3 / 271),0.0% (0 / 11),0.0% (0 / 782),0.0% (0 / 14),0.6% (1 / 174),0.0% (0 / 15),(2056:1)(2831:1)(4904:4)(4940:3)(5387:1)(5580:1)(5821:1)(5840:1)(6266:3)(6641:1)(7868:6)(7891:4)(8021:1)(8065:2)(8461:5)(8503:1)(9325:15)(9869:1)(10307:4)(10750:2)(11590:2)(12474:4)(13359:3)(13889:10)(15148:10)(15355:7)(15443:1)(15649:6)(15667:7),(15649:1),,,(3918:1),(3918:1),,,(4958:3),,,,(3338:1),
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.1,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7538,freshkills id:SP6701;Field Id:M46,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1307,LyB-20180125-EZ,Lib.F.9229,35550000000,100.9,Pl_307,Cap.E.7269,AA75,190312_D00829_0232,lane1,P.A.872,Screening,Pass,v2.3,1918819,957467,50733,43253,2343,18.46,1901,1892,++,Bovidae(122[4.74%]) Canidae(122[4.94%]) Felidae(41[1.64%]) Ursidae(1607[64.01%]),Cercopithecidae(13[0.53%]) Elephantidae(26[1.03%]) Equidae(24[0.78%]) Hominidae(372[15.33%]) Rhinocerotidae(16[0.65%]),"Bovidae(53.3[34.3-71.7],35.7[18.6-55.9]) Canidae(66.7[49.8-80.9],56.5[34.5-76.8]) Cercopithecidae(0.0[0.0-84.2],33.3[0.8-90.6]) Elephantidae(40.0[5.3-85.3],33.3[0.8-90.6]) Equidae(100.0[29.2-100.0],0.0[0.0-60.2]) Felidae(71.4[29.0-96.3],69.2[38.6-90.9]) Hominidae(1.3[0.0-6.9],1.0[0.0-5.6]) Rhinocerotidae(66.7[9.4-99.2],80.0[28.4-99.5]) Ursidae(59.3[54.5-64.1],54.3[48.8-59.7])",2.3,103.4,0.005389,1918819,1884577,9060,15.3,8064,89.0,372,21.68,1.3,1.0,0.0-6.9,0.0-5.6,0.0-97.5,N/A-N/A,-,8,^^^100.0% (46 / 46),NA% (0 / 0),0.0% (0 / 38),NA% (0 / 0),0.0% (0 / 18),0.0% (0 / 1),0.0% (0 / 44),0.0% (0 / 1),2.7% (3 / 110),0.0% (0 / 1),0.0% (0 / 113),0.0% (0 / 1),0.0% (0 / 69),0.0% (0 / 2),(2056:1)(2523:2)(2831:2)(4904:1)(4940:1)(5387:1)(5580:4)(5821:1)(5840:2)(6452:2)(6641:2)(7868:1)(7891:3)(8021:3)(8065:1)(8503:1)(9325:2)(9869:1)(10750:3)(11590:1)(13359:2)(13656:1)(15148:1)(15355:2)(15649:3)(15667:2),,,,,,,,(7232:1)(8152:1)(8677:1),,,,,
